Country,Severe Wasting,Wasting in %,Overweight,Stunting,Underweight,Total
LAO PEOPLE'S DEMOCRATIC REP. (THE),3.2,10.514285714285714,2.4,44.92857142857143,30.87142857142857,46.98571428571428
LEBANON,2.25,5.1,18.75,16.85,3.85,29.950000000000003
LESOTHO,1.62,6.671428571428571,9.82,40.2,14.085714285714287,32.19714285714286
LIBERIA,1.7799999999999998,5.84,3.4799999999999995,37.22,17.740000000000006,28.840000000000003
LIBYA,3.233333333333333,6.766666666666667,21.8,26.73333333333333,7.166666666666668,38.96666666666667
MADAGASCAR,2.24,9.957142857142856,2.5,52.575,34.31428571428571,49.01142857142857
MALAWI,1.6076923076923082,4.64,7.484615384615385,49.10714285714285,17.40666666666667,31.138974358974362
MALAYSIA,,11.6,6.2,19.075,18.14,
MALDIVES,4.725,15.779999999999998,4.66,32.6,30.32,55.485
MALI,4.457142857142856,13.242857142857144,2.2,34.41428571428572,26.67142857142857,46.57142857142857
MARSHALL ISLANDS,1.1,3.5,4.1,34.8,11.9,20.6
MAURITANIA,3.975,13.41,2.6375,34.17,24.86666666666667,44.88916666666667
MAURITIUS,,17.0,7.65,20.45,17.05,
MEXICO,0.6499999999999999,3.825,7.371428571428572,19.175,6.525,18.371428571428574
MONGOLIA,0.9625,2.4444444444444438,9.925,20.777777777777786,5.911111111111111,19.243055555555557
MONTENEGRO,1.7000000000000002,3.5,19.0,8.65,1.6,25.8
MOROCCO,1.95,4.483333333333333,10.866666666666667,23.85,6.916666666666668,24.21666666666667
MOZAMBIQUE,2.566666666666667,6.8,6.566666666666666,47.84285714285715,20.75714285714286,36.69047619047619
MYANMAR,2.5,9.771428571428572,4.62,45.1,29.75555555555555,46.64698412698412
NAMIBIA,2.75,8.575000000000001,4.125,29.200000000000006,18.05,33.5
NAURU,0.2,1.0,2.8,24.0,4.8,8.8
NEPAL,2.5285714285714285,10.325,1.0285714285714287,51.9125,36.95,50.832142857142856
NICARAGUA,0.75,2.033333333333333,6.55,24.066666666666666,7.033333333333334,16.366666666666667
NIGER (THE),4.33,15.936363636363636,1.52,46.0,38.263636363636365,60.05
